hotel_id	dateAdded	dateUpdated	categories	primaryCategories	name	websites	locationId
AV_2L3v1RxPSIh2RoCSt	2017-11-26T02:32:08Z	2018-01-30T06:02:25Z	Hotels,Lodging,Hotel	Accommodation & Food Services	Home2 Suites by Hilton Florence Cincinnati Airport South	http://home2suites3.hilton.com/en/hotels/kentucky/home2-suites-by-hilton-florence-cincinnati-airport-south-CVGFCHT/index.html	LOC0382
AV_JW7Jp3-Khe5l_ZkCd	2017-11-17T09:39:00Z	2018-04-17T01:41:05Z	Hotel,Hotels,Lodging,Motels	Accommodation & Food Services	WoodSpring Suites Virginia Beach	http://www.woodspring.com/extended-stay-hotels/locations/virginia/chesapeake-norfolk/woodspring-suites-virginia-beach/?utm_source=TripAdvisorandutm_medium=referralandutm_campaign=businesslistings	LOC1402
AV0aI23wFcQ3k02bEoYo	2017-07-06T23:01:55Z	2018-01-18T18:34:35Z	Hotel,Hotels Motels	Accommodation & Food Services	Hampton Inn Springfield South	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_SPRSOHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FSPRSOHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC1028
AV0aKldgLD2H7whiZV4z	2017-07-06T23:09:28Z	2018-02-02T07:16:10Z	Hotels and motels,Motels,Lodging,Hotels Motels,Hotel	Accommodation & Food Services	Lydia Johnson Inn	http://www.lydiajohnsoninn.com	LOC0680
AV0aVd_HLD2H7whiZf0N	2017-07-06T23:57:01Z	2018-01-22T05:09:24Z	Lodging,Motels,Hotels and motels,Hotel,Hotels Motels	Accommodation & Food Services	Super 8 Anderson	http://www.super8.com	LOC0343
AV0dLPzA3D1zeR_xEeNe	2017-07-07T13:11:13Z	2018-07-03T12:14:19Z	Pubs,Restaurant,Bar,Hotels Motels,Hotel	Accommodation & Food Services	Pine Barn Inn	http://www.chattanoogamarriottdowntown.com	LOC0111
AV0IJ3wqLD2H7whiYXuf	2017-07-03T11:13:11Z	2018-03-08T02:10:40Z	Hotels,Motels,Corporate Lodging,Hotel,Hotels Motels,Lodging,Budget Hotels,Business Hotels,Family-friendly Hotels,Tourist Hotels,Travel Agencies	Accommodation & Food Services	Quality Inn	https://www.choicehotels.com/wisconsin/hudson/quality-inn-hotels/wi017?pmf=yextandmc=llyxyxpx	LOC0655
AV0J-cFz-gnIPe8DU7eF	2017-07-03T19:42:29Z	2018-08-27T16:52:49Z	Wedding Sites,Meeting Facilities,Hotels Motels,Hotel	Accommodation & Food Services	Embassy Suites by Hilton Boston at Logan Airport	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_BOSAPES_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FBOSAPES%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC0796
AV0JWKBj3D1zeR_xDTqe	2017-07-03T16:46:29Z	2018-04-19T20:51:18Z	Hotel,Hotels Motels	Accommodation & Food Services	Bluegreen Parkside Williamsburg, Ascend Resort Collection	https://www.choicehotels.com/virginia/williamsburg/ascend-hotels/va731?pmf=yext&mc=llyxyxpx	LOC1066
AV0UozSd3D1zeR_xDf4b	2017-07-05T21:23:46Z	2018-05-07T11:01:32Z	Hotels Motels,Hotel	Accommodation & Food Services	Courtyard Austin South	http://www.marriott.com/hotels/travel/ausse-courtyard-austin-south/?pid=CORPYLP,http://www.marriott.com/hotels/travel/ausse-courtyard-austin-south/	LOC0261
